ilce_names,ilce_urls,city_names,city_urls
Kula,kula,Manisa,manisa
Salihli,salihli,Manisa,manisa
Sarıgöl,sarigol,Manisa,manisa
Saruhanlı,saruhanli,Manisa,manisa
Selendi,selendi,Manisa,manisa
Soma,soma,Manisa,manisa
Şehzadeler,sehzadeler,Manisa,manisa
Turgutlu,turgutlu,Manisa,manisa
Yunusemre,yunusemre,Manisa,manisa
Artuklu,artuklu,Mardin,mardin
Dargeçit,dargecit,Mardin,mardin
Derik,derik,Mardin,mardin
Kızıltepe,kiziltepe,Mardin,mardin
Mazıdağı,mazidagi,Mardin,mardin
Midyat,midyat,Mardin,mardin
Nusaybin,nusaybin,Mardin,mardin
Ömerli,omerli,Mardin,mardin
Savur,savur,Mardin,mardin
Yeşilli,yesilli,Mardin,mardin
Bodrum,bodrum,Muğla,mugla
Dalaman,dalaman,Muğla,mugla
Datça,datca,Muğla,mugla
Fethiye,fethiye,Muğla,mugla
Kavaklıdere,kavaklidere,Muğla,mugla
Köyceğiz,koycegiz,Muğla,mugla
Marmaris,marmaris,Muğla,mugla
Menteşe,mentese,Muğla,mugla
Milas,milas,Muğla,mugla
Ortaca,ortaca,Muğla,mugla
Seydikemer,seydikemer,Muğla,mugla
Ula,ula,Muğla,mugla
Yatağan,yatagan,Muğla,mugla
Bulanık,bulanik,Muş,mus
Hasköy,haskoy,Muş,mus
Korkut,korkut,Muş,mus
Malazgirt,malazgirt,Muş,mus
Merkez,mus-merkez,Muş,mus
Varto,varto,Muş,mus
Acıgöl,acigol,Nevşehir,nevsehir
Avanos,avanos,Nevşehir,nevsehir
Derinkuyu,derinkuyu,Nevşehir,nevsehir
Gülşehir,gulsehir,Nevşehir,nevsehir
Hacıbektaş,hacibektas,Nevşehir,nevsehir
Kozaklı,kozakli,Nevşehir,nevsehir
Merkez,nevsehir-merkez,Nevşehir,nevsehir
Ürgüp,urgup,Nevşehir,nevsehir
Altunhisar,altunhisar,Niğde,nigde
Bor,bor,Niğde,nigde
Çamardı,camardi,Niğde,nigde
Çiftlik,ciftlik,Niğde,nigde
Merkez,nigde-merkez,Niğde,nigde
Ulukışla,ulukisla,Niğde,nigde
Akkuş,akkus,Ordu,ordu
Altınordu,altinordu,Ordu,ordu
Aybastı,aybasti,Ordu,ordu
Çamaş,camas,Ordu,ordu
Çatalpınar,catalpinar,Ordu,ordu
Çaybaşı,caybasi,Ordu,ordu
Fatsa,fatsa,Ordu,ordu
Gölköy,golkoy,Ordu,ordu
Gülyalı,gulyali,Ordu,ordu
Gürgentepe,gurgentepe,Ordu,ordu
İkizce,ikizce,Ordu,ordu
Kabadüz,kabaduz,Ordu,ordu
Kabataş,kabatas,Ordu,ordu
Korgan,korgan,Ordu,ordu
Kumru,kumru,Ordu,ordu
Mesudiye,mesudiye,Ordu,ordu
Perşembe,persembe,Ordu,ordu
Ulubey,ordu-ulubey,Ordu,ordu
Ünye,unye,Ordu,ordu
Bahçe,osmaniye-bahce,Osmaniye,osmaniye
Düziçi,duzici,Osmaniye,osmaniye
Hasanbeyli,hasanbeyli,Osmaniye,osmaniye
Kadirli,kadirli,Osmaniye,osmaniye
Merkez,osmaniye-merkez,Osmaniye,osmaniye
Sumbas,sumbas,Osmaniye,osmaniye
Toprakkale,toprakkale,Osmaniye,osmaniye
Ardeşen,ardesen,Rize,rize
Çamlıhemşin,camlihemsin,Rize,rize
Çayeli,cayeli,Rize,rize
Derepazarı,derepazari,Rize,rize
Fındıklı,findikli,Rize,rize
Güneysu,guneysu,Rize,rize
Hemşin,hemsin,Rize,rize
İkizdere,ikizdere,Rize,rize
İyidere,iyidere,Rize,rize
Kalkandere,kalkandere,Rize,rize
Merkez,rize-merkez,Rize,rize
Pazar,rize-pazar,Rize,rize
Adapazarı,adapazari,Sakarya,sakarya
Akyazı,akyazi,Sakarya,sakarya
Arifiye,arifiye,Sakarya,sakarya
Erenler,erenler,Sakarya,sakarya
Ferizli,ferizli,Sakarya,sakarya
Geyve,geyve,Sakarya,sakarya
Hendek,hendek,Sakarya,sakarya
Karapürçek,karapurcek,Sakarya,sakarya
Karasu,karasu,Sakarya,sakarya
Kaynarca,kaynarca,Sakarya,sakarya
Kocaali,kocaali,Sakarya,sakarya
Pamukova,pamukova,Sakarya,sakarya
Sapanca,sapanca,Sakarya,sakarya
Serdivan,serdivan,Sakarya,sakarya
Söğütlü,sogutlu,Sakarya,sakarya
Taraklı,tarakli,Sakarya,sakarya
Alaçam,alacam,Samsun,samsun
Asarcık,asarcik,Samsun,samsun
Atakum,atakum,Samsun,samsun
Ayvacık,samsun-ayvacik,Samsun,samsun
Bafra,bafra,Samsun,samsun
Canik,canik,Samsun,samsun
Çarşamba,carsamba,Samsun,samsun
Havza,havza,Samsun,samsun
İlkadım,ilkadim,Samsun,samsun
Kavak,kavak,Samsun,samsun
Ladik,ladik,Samsun,samsun
Ondokuzmayıs,ondokuzmayis,Samsun,samsun
Salıpazarı,salipazari,Samsun,samsun
Tekkeköy,tekkekoy,Samsun,samsun
Terme,terme,Samsun,samsun
Vezirköprü,vezirkopru,Samsun,samsun
Yakakent,yakakent,Samsun,samsun
Baykan,baykan,Siirt,siirt
Eruh,eruh,Siirt,siirt
Kurtalan,kurtalan,Siirt,siirt
Merkez,siirt-merkez,Siirt,siirt
Pervari,pervari,Siirt,siirt
Şirvan,sirvan,Siirt,siirt
Tillo,tillo,Siirt,siirt
Ayancık,ayancik,Sinop,sinop
Boyabat,boyabat,Sinop,sinop
Dikmen,dikmen,Sinop,sinop
Durağan,duragan,Sinop,sinop
Erfelek,erfelek,Sinop,sinop
Gerze,gerze,Sinop,sinop
Merkez,sinop-merkez,Sinop,sinop
Saraydüzü,sarayduzu,Sinop,sinop
Türkeli,turkeli,Sinop,sinop
Akıncılar,akincilar,Sivas,sivas
Altınyayla,sivas-altinyayla,Sivas,sivas
Divriği,divrigi,Sivas,sivas
Doğanşar,dogansar,Sivas,sivas
Gemerek,gemerek,Sivas,sivas
Gölova,golova,Sivas,sivas
Gürün,gurun,Sivas,sivas
Hafik,hafik,Sivas,sivas
İmranlı,imranli,Sivas,sivas
Kangal,kangal,Sivas,sivas
Koyulhisar,koyulhisar,Sivas,sivas
Merkez,sivas-merkez,Sivas,sivas
Suşehri,susehri,Sivas,sivas
Şarkışla,sarkisla,Sivas,sivas
Ulaş,ulas,Sivas,sivas
Yıldızeli,yildizeli,Sivas,sivas
Zara,zara,Sivas,sivas
Akçakale,akcakale,Şanlıurfa,sanliurfa
Birecik,birecik,Şanlıurfa,sanliurfa
Bozova,bozova,Şanlıurfa,sanliurfa
Ceylanpınar,ceylanpinar,Şanlıurfa,sanliurfa
Eyyübiye,eyyubiye,Şanlıurfa,sanliurfa
Halfeti,halfeti,Şanlıurfa,sanliurfa
Haliliye,haliliye,Şanlıurfa,sanliurfa
Harran,harran,Şanlıurfa,sanliurfa
Hilvan,hilvan,Şanlıurfa,sanliurfa
Karaköprü,karakopru,Şanlıurfa,sanliurfa
Siverek,siverek,Şanlıurfa,sanliurfa
Suruç,suruc,Şanlıurfa,sanliurfa
Viranşehir,viransehir,Şanlıurfa,sanliurfa
Beytüşşebap,beytussebap,Şırnak,sirnak
Cizre,cizre,Şırnak,sirnak
Güçlükonak,guclukonak,Şırnak,sirnak
İdil,idil,Şırnak,sirnak
Merkez,sirnak-merkez,Şırnak,sirnak
Silopi,silopi,Şırnak,sirnak
Uludere,uludere,Şırnak,sirnak
Çerkezköy,cerkezkoy,Tekirdağ,tekirdag
Çorlu,corlu,Tekirdağ,tekirdag
Ergene,ergene,Tekirdağ,tekirdag
Hayrabolu,hayrabolu,Tekirdağ,tekirdag
Kapaklı,kapakli,Tekirdağ,tekirdag
Malkara,malkara,Tekirdağ,tekirdag
Marmaraereğlisi,marmaraereglisi,Tekirdağ,tekirdag
Muratlı,muratli,Tekirdağ,tekirdag
Saray,tekirdag-saray,Tekirdağ,tekirdag
Süleymanpaşa,suleymanpasa,Tekirdağ,tekirdag
Şarköy,sarkoy,Tekirdağ,tekirdag
Almus,almus,Tokat,tokat
Artova,artova,Tokat,tokat
Başçiftlik,basciftlik,Tokat,tokat
Erbaa,erbaa,Tokat,tokat
Merkez,tokat-merkez,Tokat,tokat
Niksar,niksar,Tokat,tokat
Pazar,tokat-pazar,Tokat,tokat
Reşadiye,resadiye,Tokat,tokat
Sulusaray,sulusaray,Tokat,tokat
Turhal,turhal,Tokat,tokat
Yeşilyurt,tokat-yesilyurt,Tokat,tokat
Zile,zile,Tokat,tokat
Akçaabat,akcaabat,Trabzon,trabzon
Araklı,arakli,Trabzon,trabzon
Arsin,arsin,Trabzon,trabzon
Beşikdüzü,besikduzu,Trabzon,trabzon
Çarşıbaşı,carsibasi,Trabzon,trabzon
Çaykara,caykara,Trabzon,trabzon
Dernekpazarı,dernekpazari,Trabzon,trabzon
Düzköy,duzkoy,Trabzon,trabzon
Hayrat,hayrat,Trabzon,trabzon
Köprübaşı,trabzon-koprubasi,Trabzon,trabzon
Maçka,macka,Trabzon,trabzon
Of,of,Trabzon,trabzon
Ortahisar,ortahisar,Trabzon,trabzon
Sürmene,surmene,Trabzon,trabzon
Şalpazarı,salpazari,Trabzon,trabzon
Tonya,tonya,Trabzon,trabzon
Vakfıkebir,vakfikebir,Trabzon,trabzon
Yomra,yomra,Trabzon,trabzon
Banaz,banaz,Uşak,usak
Eşme,esme,Uşak,usak
Karahallı,karahalli,Uşak,usak
Merkez,usak-merkez,Uşak,usak
Sivaslı,sivasli,Uşak,usak
Ulubey,usak-ulubey,Uşak,usak
Bahçesaray,bahcesaray,Van,van
Başkale,baskale,Van,van
Çaldıran,caldiran,Van,van
Çatak,catak,Van,van
Edremit,van-edremit,Van,van
Erciş,ercis,Van,van
Gevaş,gevas,Van,van
Gürpınar,gurpinar,Van,van
İpekyolu,ipekyolu,Van,van
Muradiye,muradiye,Van,van
Özalp,ozalp,Van,van
Saray,van-saray,Van,van
Tuşba,tusba,Van,van
Altınova,altinova,Yalova,yalova
Armutlu,armutlu,Yalova,yalova
Çınarcık,cinarcik,Yalova,yalova
Çiftlikköy,ciftlikkoy,Yalova,yalova
Merkez,yalova-merkez,Yalova,yalova
Termal,termal,Yalova,yalova
Akdağmadeni,akdagmadeni,Yozgat,yozgat
Aydıncık,yozgat-aydincik,Yozgat,yozgat
Boğazlıyan,bogazliyan,Yozgat,yozgat
Çandır,candir,Yozgat,yozgat
Çayıralan,cayiralan,Yozgat,yozgat
Çekerek,cekerek,Yozgat,yozgat
Kadışehri,kadisehri,Yozgat,yozgat
Merkez,yozgat-merkez,Yozgat,yozgat
Saraykent,saraykent,Yozgat,yozgat
Sarıkaya,sarikaya,Yozgat,yozgat
Sorgun,sorgun,Yozgat,yozgat
Şefaatli,sefaatli,Yozgat,yozgat
Yenifakılı,yenifakili,Yozgat,yozgat
Yerköy,yerkoy,Yozgat,yozgat
Alaplı,alapli,Zonguldak,zonguldak
Çaycuma,caycuma,Zonguldak,zonguldak
Devrek,devrek,Zonguldak,zonguldak
Ereğli,zonguldak-eregli,Zonguldak,zonguldak
Gökçebey,gokcebey,Zonguldak,zonguldak
Kilimli,kilimli,Zonguldak,zonguldak
Kozlu,kozlu,Zonguldak,zonguldak
Merkez,zonguldak-merkez,Zonguldak,zonguldak
Gazimağusa,gazimagusa,K.K.T.C.,kktc
Girne,girne,K.K.T.C.,kktc
Güzelyurt,kktc-guzelyurt,K.K.T.C.,kktc
İskele,iskele,K.K.T.C.,kktc
Lefke,lefke,K.K.T.C.,kktc
Lefkoşa,lefkosa,K.K.T.C.,kktc
